family,lead,target,tf,L,H,direction,thr_name,n,mean_net,t,p,q,ic_L1H1,robust
F2,AVAX-USD,DOT-USD,1d,3,3,rev,p80,57,-0.0015577,-0.15896,0.56287,1,-0.0038726,False
F2,AVAX-USD,DOT-USD,1h,3,3,rev,p80,870,-0.0034708,-4.6653,1,1,-0.0012656,False
F2,AVAX-USD,DOT-USD,4h,3,3,cont,p80,211,-0.0041562,-1.5542,0.9392,1,0.0086194,False
F2,AVAX-USD,ETH-USD,1d,3,3,cont,p70,96,0.00081499,0.13866,0.44501,1,-0.019978,False
F2,AVAX-USD,ETH-USD,1h,1,1,cont,0,7599,-0.0038753,-47.224,1,1,0.0083204,False
F2,AVAX-USD,ETH-USD,4h,3,3,cont,p80,211,-0.0029083,-1.4118,0.92026,1,0.027801,False
F2,AVAX-USD,LINK-USD,1d,2,2,cont,0,338,0.00025884,0.071585,0.47149,1,-0.021756,False
F2,AVAX-USD,LINK-USD,1h,3,3,rev,p80,870,-0.0033048,-4.4695,1,1,-0.011694,False
F2,AVAX-USD,LINK-USD,4h,3,3,cont,p80,211,-0.00231,-0.92652,0.82238,1,-0.00069732,False
F2,AVAX-USD,LTC-USD,1d,3,3,rev,0,249,0.00075886,0.16344,0.43515,1,-0.023411,False
F2,AVAX-USD,LTC-USD,1h,3,3,rev,p80,870,-0.0033226,-4.7891,1,1,-0.0099876,False
F2,AVAX-USD,LTC-USD,4h,3,3,cont,p80,211,-0.0023659,-1.0604,0.85491,1,0.00089441,False
F2,AVAX-USD,SHIB-USD,1d,3,3,cont,0,238,0.019202,1.6031,0.055127,1,-0.029417,True
F2,AVAX-USD,SHIB-USD,1h,1,1,cont,0,7599,-0.0039981,-39.706,1,1,-0.013152,False
F2,AVAX-USD,SHIB-USD,4h,3,3,rev,p80,213,-0.0028736,-1.1437,0.87297,1,-0.0072171,False
F2,AVAX-USD,SOL-USD,1d,3,3,cont,0,238,0.0058715,1.0689,0.1431,1,-0.016269,False
F2,AVAX-USD,SOL-USD,1h,1,1,cont,0,7599,-0.0040425,-42.018,1,1,-0.018729,False
F2,AVAX-USD,SOL-USD,4h,3,3,rev,p80,213,-0.0045413,-1.7539,0.95956,1,0.020617,False
F2,AVAX-USD,UNI-USD,1d,3,3,rev,0,249,0.0029612,0.49134,0.31181,1,-0.012645,False
F2,AVAX-USD,UNI-USD,1h,3,3,cont,p80,873,-0.0030925,-4.3439,0.99999,1,-0.0047285,False
F2,AVAX-USD,UNI-USD,4h,3,3,cont,p80,211,-0.0022652,-0.73635,0.76883,1,0.0099112,False
F2,AVAX-USD,XLM-USD,1d,3,3,rev,0,249,0.0048475,0.96279,0.1683,1,0.010256,False
